match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T205366,RCB Vs Titans,Titans,MohitSharma,4.0,0,54,0,13.5,2,8,1,2,0
T205366,RCB Vs Titans,RCB,MohammedSiraj,4.0,0,32,2,8.0,11,2,2,2,0
T205366,RCB Vs Titans,RCB,WayneParnell,3.1,0,42,0,13.26,7,6,2,1,1
T205366,RCB Vs Titans,RCB,VijaykumarVyshak,4.0,0,40,1,10.0,6,2,2,2,0
T205366,RCB Vs Titans,RCB,HimanshuSharma,3.0,0,28,0,9.33,4,3,1,0,0
T205366,RCB Vs Titans,RCB,HarshalPatel,4.0,0,29,1,7.25,11,2,1,2,0
T205366,RCB Vs Titans,RCB,MichaelBracewell,1.0,0,16,0,16.0,2,0,2,0,0
T203271,Super Kings Vs Titans,Titans,MohammedShami,4.0,0,28,2,7.0,10,2,1,0,1
T203271,Super Kings Vs Titans,Titans,DarshanNalkande,4.0,0,44,1,11.0,9,4,2,0,1
T203271,Super Kings Vs Titans,Titans,RashidKhan,4.0,0,37,1,9.25,5,2,1,0,0
T203271,Super Kings Vs Titans,Titans,NoorAhmad,4.0,0,29,1,7.25,6,3,0,0,0
T203271,Super Kings Vs Titans,Titans,MohitSharma,4.0,0,31,2,7.75,4,3,0,0,0
T203271,Super Kings Vs Titans,Super Kings,DeepakChahar,4.0,0,29,2,7.25,10,2,1,3,0
T203271,Super Kings Vs Titans,Super Kings,TusharDeshpande,4.0,0,43,1,10.75,11,6,2,2,0
T203271,Super Kings Vs Titans,Super Kings,MaheeshTheekshana,4.0,0,28,2,7.0,8,1,1,0,0
T203271,Super Kings Vs Titans,Super Kings,RavindraJadeja,4.0,0,18,2,4.5,12,2,0,0,0
T203271,Super Kings Vs Titans,Super Kings,MatheeshaPathirana,4.0,0,37,2,9.25,9,2,1,7,0
T207210,Mumbai Vs Super Giants,Super Giants,KrunalPandya,4.0,0,38,0,9.5,7,5,1,0,0
T207210,Mumbai Vs Super Giants,Super Giants,KrishnappaGowtham,1.0,0,8,0,8.0,4,2,0,0,0
T207210,Mumbai Vs Super Giants,Super Giants,Naveen-ul-Haq,4.0,0,38,4,9.5,10,3,2,3,0
T207210,Mumbai Vs Super Giants,Super Giants,YashThakur,4.0,0,34,3,8.5,12,3,2,2,0
T207210,Mumbai Vs Super Giants,Super Giants,MohsinKhan,3.0,0,24,1,8.0,9,1,2,0,0
T207210,Mumbai Vs Super Giants,Super Giants,RaviBishnoi,4.0,0,30,0,7.5,4,1,1,1,0
T207210,Mumbai Vs Super Giants,Mumbai,JasonBehrendorff,3.0,0,21,0,7.0,7,3,0,0,0
T207210,Mumbai Vs Super Giants,Mumbai,AkashMadhwal,3.3,0,5,5,1.42,17,0,0,0,0
T207210,Mumbai Vs Super Giants,Mumbai,ChrisJordan,2.0,1,7,1,3.5,9,1,0,0,0
T207210,Mumbai Vs Super Giants,Mumbai,CameronGreen,3.0,0,15,0,5.0,7,1,0,0,0
T207210,Mumbai Vs Super Giants,Mumbai,HrithikShokeen,1.0,0,18,0,18.0,1,2,1,1,0
T207210,Mumbai Vs Super Giants,Mumbai,PiyushChawla,4.0,0,28,1,7.0,9,2,1,2,0
T201090,Titans Vs Mumbai,Mumbai,JasonBehrendorff,4.0,0,28,0,7.0,8,4,0,0,0
T201090,Titans Vs Mumbai,Mumbai,CameronGreen,3.0,0,35,0,11.66,4,3,2,0,0
T201090,Titans Vs Mumbai,Mumbai,AkashMadhwal,4.0,0,52,1,13.0,7,3,4,0,2
T201090,Titans Vs Mumbai,Mumbai,ChrisJordan,4.0,0,56,0,14.0,6,6,3,4,0
T201090,Titans Vs Mumbai,Mumbai,PiyushChawla,3.0,0,45,1,15.0,0,2,3,1,0
T201090,Titans Vs Mumbai,Mumbai,KumarKartikeya,2.0,0,15,0,7.5,2,0,1,0,0
T201090,Titans Vs Mumbai,Titans,MohammedShami,3.0,0,41,2,13.66,6,6,2,0,0
T201090,Titans Vs Mumbai,Titans,HardikPandya,2.0,0,24,0,12.0,4,3,1,1,0
T201090,Titans Vs Mumbai,Titans,RashidKhan,4.0,0,33,2,8.25,8,5,0,1,0
T201090,Titans Vs Mumbai,Titans,NoorAhmad,4.0,0,35,0,8.75,8,1,2,1,1
T201090,Titans Vs Mumbai,Titans,JoshLittle,3.0,0,26,1,8.66,6,2,1,1,0
T201090,Titans Vs Mumbai,Titans,MohitSharma,2.2,0,10,5,4.28,9,0,1,0,0
T202039,Titans Vs Super Kings,Super Kings,DeepakChahar,4.0,0,38,1,9.5,5,3,1,0,0
T202039,Titans Vs Super Kings,Super Kings,TusharDeshpande,4.0,0,56,0,14.0,4,7,3,0,0
T202039,Titans Vs Super Kings,Super Kings,MaheeshTheekshana,4.0,0,36,0,9.0,8,3,2,0,0
T202039,Titans Vs Super Kings,Super Kings,RavindraJadeja,4.0,0,38,1,9.5,3,3,1,0,0
T202039,Titans Vs Super Kings,Super Kings,MatheeshaPathirana,4.0,0,44,2,11.0,7,4,2,2,0
T202039,Titans Vs Super Kings,Titans,MohammedShami,3.0,0,29,0,9.66,5,4,0,0,0
T202039,Titans Vs Super Kings,Titans,HardikPandya,1.0,0,14,0,14.0,1,1,1,1,0
T202039,Titans Vs Super Kings,Titans,RashidKhan,3.0,0,44,0,14.66,2,4,3,0,0
T202039,Titans Vs Super Kings,Titans,NoorAhmad,3.0,0,17,2,5.66,6,0,0,3,0
T202039,Titans Vs Super Kings,Titans,JoshLittle,2.0,0,30,0,15.0,1,0,3,0,0
T202039,Titans Vs Super Kings,Titans,MohitSharma,3.0,0,36,3,12.0,4,2,3,0,0
