match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchDate
Super Kings Vs Super Giants,Super Kings,TusharDeshpande,4,0,45,2,11.25,7,2,2,4,3,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,MoeenAli,4,0,26,4,6.50,10,0,1,1,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,MitchellSantner,4,0,21,1,5.25,9,0,1,0,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,RajvardhanHangargekar,2,0,24,0,12.00,4,2,1,3,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,RavindraJadeja,1,0,14,0,14.00,2,0,2,0,0,"Apr 3, 2023"
Capitals Vs Titans,Titans,MohammedShami,4,0,41,3,10.25,15,5,1,4,0,"Apr 4, 2023"
Capitals Vs Titans,Titans,JoshLittle,4,0,27,0,6.75,11,2,1,0,0,"Apr 4, 2023"
Capitals Vs Titans,Titans,HardikPandya,3,0,18,0,6.00,6,2,0,0,0,"Apr 4, 2023"
Capitals Vs Titans,Titans,AlzarriJoseph,4,0,29,2,7.25,13,3,1,1,0,"Apr 4, 2023"
Capitals Vs Titans,Titans,YashDayal,1,0,12,0,12.00,0,0,1,0,0,"Apr 4, 2023"
Capitals Vs Titans,Titans,RashidKhan,4,0,31,3,7.75,9,2,2,0,0,"Apr 4, 2023"
Capitals Vs Titans,Capitals,KhaleelAhmed,4,0,38,1,9.50,9,5,1,1,0,"Apr 4, 2023"
Capitals Vs Titans,Capitals,MukeshKumar,4,0,42,0,10.50,8,5,2,1,0,"Apr 4, 2023"
Capitals Vs Titans,Capitals,AnrichNortje,4,0,39,2,9.75,9,3,2,0,2,"Apr 4, 2023"
Capitals Vs Titans,Capitals,MitchellMarsh,3.1,0,24,1,7.57,4,1,0,1,0,"Apr 4, 2023"
Capitals Vs Titans,Capitals,KuldeepYadav,3,0,18,0,6.00,5,1,0,1,0,"Apr 4, 2023"
Punjab Kings Vs Royals,Royals,TrentBoult,4,0,38,0,9.50,8,3,2,1,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,KMAsif,4,0,54,0,13.50,7,5,3,3,1,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,RavichandranAshwin,4,0,25,1,6.25,7,2,0,1,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,JasonHolder,4,0,29,2,7.25,7,2,1,0,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Royals,YuzvendraChahal,4,0,50,1,12.50,5,7,1,1,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,SamCurran,4,0,44,0,11.00,7,3,3,0,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,ArshdeepSingh,4,0,47,2,11.75,10,4,3,3,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,HarpreetBrar,2,0,15,0,7.50,5,2,0,0,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,NathanEllis,4,0,30,4,7.50,11,2,2,0,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,RahulChahar,4,0,31,0,7.75,5,1,1,0,0,"Apr 5, 2023"
Punjab Kings Vs Royals,Punjab Kings,SikandarRaza,2,0,24,0,12.00,2,1,1,2,0,"Apr 5, 2023"
KKR Vs RCB,RCB,MohammedSiraj,4,0,44,1,11.00,13,6,1,3,1,"Apr 6, 2023"
KKR Vs RCB,RCB,DavidWilley,4,1,16,2,4.00,15,2,0,1,0,"Apr 6, 2023"
KKR Vs RCB,RCB,AkashDeep,2,0,30,0,15.00,4,2,2,1,2,"Apr 6, 2023"
KKR Vs RCB,RCB,MichaelBracewell,3,0,34,1,11.33,3,1,3,0,0,"Apr 6, 2023"
KKR Vs RCB,RCB,ShahbazAhmed,1,0,6,0,6.00,3,1,0,0,0,"Apr 6, 2023"
KKR Vs RCB,RCB,KarnSharma,3,0,26,2,8.66,6,2,1,0,0,"Apr 6, 2023"
KKR Vs RCB,RCB,HarshalPatel,3,0,38,1,12.66,5,4,2,1,0,"Apr 6, 2023"
KKR Vs RCB,KKR,UmeshYadav,2,0,17,0,8.50,5,3,0,0,0,"Apr 6, 2023"
KKR Vs RCB,KKR,TimSouthee,2,0,25,0,12.50,5,2,2,0,0,"Apr 6, 2023"
KKR Vs RCB,KKR,SunilNarine,4,0,16,2,4.00,12,1,0,0,0,"Apr 6, 2023"
KKR Vs RCB,KKR,VarunChakravarthy,3.4,0,15,4,4.09,13,2,0,0,0,"Apr 6, 2023"
KKR Vs RCB,KKR,SuyashSharma,4,0,30,3,7.50,11,2,2,1,0,"Apr 6, 2023"
KKR Vs RCB,KKR,ShardulThakur,2,0,15,1,7.50,4,2,0,0,0,"Apr 6, 2023"
Sunrisers Vs Super Giants,Super Giants,KyleMayers,1,0,5,0,5.00,1,0,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,JaydevUnadkat,3,0,26,0,8.66,9,0,3,1,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,KrunalPandya,4,0,18,3,4.50,15,3,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,YashThakur,3,0,23,1,7.66,6,3,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,RaviBishnoi,4,0,16,1,4.00,10,0,0,1,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,DeepakHooda,1,0,8,0,8.00,1,1,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Super Giants,AmitMishra,4,0,23,2,5.75,10,3,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,BhuvneshwarKumar,2,0,19,1,9.50,7,1,1,1,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,WashingtonSundar,1,0,11,0,11.00,1,2,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,FazalhaqFarooqi,3,0,13,1,4.33,12,2,0,1,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,AidenMarkram,2,0,14,0,7.00,5,2,0,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,AdilRashid,3,0,23,2,7.66,8,2,1,0,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,TNatarajan,3,0,23,0,7.66,7,1,1,1,0,"Apr 7, 2023"
Sunrisers Vs Super Giants,Sunrisers,UmranMalik,2,0,22,1,11.00,7,3,0,2,0,"Apr 7, 2023"
Royals Vs Capitals,Capitals,KhaleelAhmed,2,0,31,0,15.50,3,6,0,2,0,"Apr 8, 2023"
Royals Vs Capitals,Capitals,AnrichNortje,4,0,44,0,11.00,10,6,2,0,0,"Apr 8, 2023"
Royals Vs Capitals,Capitals,MukeshKumar,4,0,36,2,9.00,8,3,2,0,0,"Apr 8, 2023"
Royals Vs Capitals,Capitals,AxarPatel,4,0,38,0,9.50,6,5,1,0,0,"Apr 8, 2023"
Royals Vs Capitals,Capitals,KuldeepYadav,4,0,31,1,7.75,8,2,1,0,0,"Apr 8, 2023"
Royals Vs Capitals,Capitals,RovmanPowell,2,0,18,1,9.00,4,1,1,1,1,"Apr 8, 2023"
Royals Vs Capitals,Royals,TrentBoult,4,1,29,3,7.25,11,5,0,0,0,"Apr 8, 2023"
Royals Vs Capitals,Royals,SandeepSharma,4,0,20,1,5.00,11,2,0,1,0,"Apr 8, 2023"
Royals Vs Capitals,Royals,RavichandranAshwin,4,0,25,2,6.25,10,2,0,3,0,"Apr 8, 2023"
Royals Vs Capitals,Royals,JasonHolder,3,0,28,0,9.33,4,4,0,1,0,"Apr 8, 2023"
Royals Vs Capitals,Royals,YuzvendraChahal,4,0,27,3,6.75,8,2,0,2,0,"Apr 8, 2023"
Royals Vs Capitals,Royals,MuruganAshwin,1,0,11,0,11.00,0,0,0,0,1,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,DeepakChahar,1,0,10,0,10.00,2,2,0,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,TusharDeshpande,3,0,31,2,10.33,9,2,3,1,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,SisandaMagala,4,0,37,1,9.25,4,5,0,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,MitchellSantner,4,0,28,2,7.00,6,3,0,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,RavindraJadeja,4,0,20,3,5.00,9,0,1,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Super Kings,DwainePretorius,4,0,28,0,7.00,9,3,0,4,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,JasonBehrendorff,3,0,24,1,8.00,9,2,1,1,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,ArshadKhan,2.1,0,35,0,16.15,2,5,1,3,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,CameronGreen,3,0,20,0,6.66,6,0,1,1,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,PiyushChawla,4,0,33,1,8.25,8,5,0,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,KumarKartikeya,4,0,24,1,6.00,6,0,1,0,0,"Apr 8, 2023"
Mumbai Vs Super Kings,Mumbai,HrithikShokeen,2,0,19,0,9.50,4,2,1,0,0,"Apr 8, 2023"
Titans Vs KKR,KKR,UmeshYadav,3,0,24,0,8.00,7,4,0,1,0,"Apr 9, 2023"
